,Name,Wage,Value,Difference
0,L. Messi,565000.0,110500000.0,109935000.0
1,Cristiano Ronaldo,405000.0,77000000.0,76595000.0
2,Neymar Jr,290000.0,118500000.0,118210000.0
3,De Gea,260000.0,72000000.0,71740000.0
4,K. De Bruyne,355000.0,102000000.0,101645000.0
5,E. Hazard,340000.0,93000000.0,92660000.0
6,L. Modrić,420000.0,67000000.0,66580000.0
7,L. Suárez,455000.0,80000000.0,79545000.0
8,Sergio Ramos,380000.0,51000000.0,50620000.0
9,J. Oblak,94000.0,68000000.0,67906000.0
10,R. Lewandowski,205000.0,77000000.0,76795000.0
11,T. Kroos,355000.0,76500000.0,76145000.0
12,D. Godín,125000.0,44000000.0,43875000.0
13,David Silva,285000.0,60000000.0,59715000.0
14,N. Kanté,225000.0,63000000.0,62775000.0
15,P. Dybala,205000.0,89000000.0,88795000.0
16,H. Kane,205000.0,83500000.0,83295000.0
17,A. Griezmann,145000.0,78000000.0,77855000.0
18,M. ter Stegen,240000.0,58000000.0,57760000.0
19,T. Courtois,240000.0,53500000.0,53260000.0
20,Sergio Busquets,315000.0,51500000.0,51185000.0
21,E. Cavani,200000.0,60000000.0,59800000.0
22,M. Neuer,130000.0,38000000.0,37870000.0
23,S. Agüero,300000.0,64500000.0,64200000.0
24,G. Chiellini,215000.0,27000000.0,26785000.0
25,K. Mbappé,100000.0,81000000.0,80900000.0
26,M. Salah,255000.0,69500000.0,69245000.0
27,Casemiro,285000.0,59500000.0,59215000.0
28,J. Rodríguez,315000.0,69500000.0,69185000.0
29,L. Insigne,165000.0,62000000.0,61835000.0
30,Isco,315000.0,73500000.0,73185000.0
31,C. Eriksen,205000.0,73500000.0,73295000.0
32,Coutinho,340000.0,69500000.0,69160000.0
33,P. Aubameyang,265000.0,59000000.0,58735000.0
34,M. Hummels,160000.0,46000000.0,45840000.0
35,Marcelo,285000.0,43000000.0,42715000.0
36,G. Bale,355000.0,60000000.0,59645000.0
37,H. Lloris,150000.0,36000000.0,35850000.0
38,G. Higuaín,245000.0,57000000.0,56755000.0
39,Thiago Silva,165000.0,24000000.0,23835000.0
40,S. Handanovič,110000.0,30000000.0,29890000.0
41,G. Buffon,77000.0,4000000.0,3923000.0
42,S. Umtiti,205000.0,57000000.0,56795000.0
43,M. Icardi,130000.0,64500000.0,64370000.0
44,K. Koulibaly,115000.0,51000000.0,50885000.0
45,P. Pogba,210000.0,64000000.0,63790000.0
46,K. Navas,195000.0,30500000.0,30305000.0
47,R. Lukaku,230000.0,62500000.0,62270000.0
48,C. Immobile,115000.0,52000000.0,51885000.0
49,Jordi Alba,250000.0,38000000.0,37750000.0
50,D. Mertens,135000.0,45000000.0,44865000.0
51,J. Vertonghen,155000.0,34000000.0,33845000.0
52,M. Hamšík,125000.0,46500000.0,46375000.0
53,I. Rakitić,260000.0,46500000.0,46240000.0
54,Piqué,240000.0,34000000.0,33760000.0
